Title,Author,Affiliation,Date,Keywords,File
On the Existence of a Mass Gap in Quantum Yang–Mills Theory,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Yang–Mills, Mass Gap, Gauge Theory, Quantum Field Theory, Millennium Problems",YangMills_MassGap_Resolution_H_Tsuchiya_2025_Final.docx
Global Regularity of the 3D Incompressible Navier–Stokes Equations,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Navier–Stokes, Global Regularity, PDE, Millennium Problems, Energy Estimates",NavierStokes_Regularity_Proof_H_Tsuchiya_2025_Final.docx
Resolution of the Hodge Conjecture via Arithmetic Correspondence Structures,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Hodge Conjecture, Algebraic Cycles, L-functions, Arithmetic Geometry",Hodge_Conjecture_Resolution_H_Tsuchiya_2025_Final.docx
A Structural Resolution of the Birch and Swinnerton-Dyer Conjecture,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"BSD Conjecture, Elliptic Curves, L-functions, Regulator, Mordell–Weil Group",BSD_Conjecture_Resolution_H_Tsuchiya_2025_Final.docx
A Structural and Inductive Resolution of the Collatz Conjecture,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Collatz Conjecture, Symbolic Automaton, Structural Induction, Recursive Trace",Collatz_Conjecture_Structural_Resolution_H_Tsuchiya_2025_Final.docx
P ≠ NP via Symbolic Trace Complexity and Non-Generatable 3-SAT Structures,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"P vs NP, 3-SAT, Computational Complexity, Symbolic Logic, NP Verification",P_vs_NP_Structural_Proof_H_Tsuchiya_2025_Final.docx
Constructive Resolution of the Riemann Hypothesis via Symbolic Zeta Representation,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Riemann Hypothesis, Zeta Function, Analytic Continuation, Zero Distribution",Riemann_Proof_With_Appendix_Complete.docx
A Structural Resolution of Voevodsky's Standard Conjectures,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Standard Conjectures, Algebraic Cycles, Lefschetz Operator, Hodge Positivity, Voevodsky",Voevodsky_Standard_Conjectures_H_Tsuchiya_2025_Final.docx
Prime Modulation and the Structural Zeta: A Symbolic Interpretation of Arithmetic Rhythms,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"Zeta Function, Prime Structure, Symbolic Fold, Arithmetic Rhythm, Riemann Philosophy",Prime_Modulation_and_Structural_Zeta_H_Tsuchiya_2025_Final.docx
A Fold-Structural Proof of the ABC Conjecture,H. Tsuchiya,Independent Researcher / Gakushuin University (Alumni),2025-06-05,"ABC Conjecture, Fold Structure, Slot Syntax, Prime Decomposition, Symbolic Proof",ABC_Conjecture_Fold_Proof_H_Tsuchiya_2025_Final.docx
